iter	Passed	Remaining
171	80147	385826
172	80558	385097
173	80961	384333
174	81321	383371
175	81668	382356
176	82026	381397
177	82442	380718
178	82801	379778
179	83304	379497
180	83675	378619
181	84191	378397
182	84693	378112
183	85168	377705
184	85553	376899
185	85913	375986
186	86387	375576
187	86791	374866
188	87260	374433
189	87749	374091
190	88130	373287
191	88674	373172
192	89136	372711
193	89570	372132
194	90001	371545
195	90402	370834
196	90848	370313
197	91273	369703
198	91726	369210
199	92051	368205
200	92771	368778
201	93253	368396
202	93643	367653
203	94099	367171
204	94554	366686
205	94954	365987
206	95778	366918
207	96315	366737
208	96765	366228
209	97283	365971
210	97782	365643
211	98267	365259
212	98693	364654
213	99137	364120
214	99595	363637
215	100030	363072
216	100463	362501
217	100899	361941
218	101468	361858
219	101933	361402
220	102421	361023
221	102962	360832
222	103467	360510
223	103874	359849
224	104261	359122
225	104750	358748
226	105099	357894
227	105505	357238
228	105890	356513
229	106414	356256
230	106886	355824
231	107391	355503
232	107803	354871
233	108244	354338
234	108846	354328
235	109416	354211
236	109812	353532
237	110262	353024
238	110718	352540
239	111193	352113
240	111615	351520
241	112102	351131
242	112470	350370
243	112916	349855
244	113279	349086
245	113825	348879
246	114316	348503
247	114630	347589
248	115115	347197
249	115661	346983
250	116339	347164
251	116856	346859
252	117320	346397
253	117808	346004
254	118298	345618
255	118756	345135
256	119239	344727
257	119693	344234
258	120079	343547
259	120578	343185
260	121029	342685
261	121515	342283
262	121886	341559
263	122409	341261
264	122922	340936
265	123422	340571
266	123806	339888
267	124378	339721
268	124843	339258
269	125297	338768
270	125672	338062
271	126141	337614
272	126543	336986
273	127042	336617
274	127397	335867
275	127905	335520
276	128347	335000
277	128786	334474
278	129131	333705
279	129531	333080
280	129984	332593
281	130544	332378
282	131010	331924
283	131333	331108
284	131745	330519
285	132241	330140
286	132620	329471
287	133087	329021
288	133506	328454
289	133971	327998
290	134479	327648
291	134917	327128
292	135529	327029
293	136189	327039
294	136731	326764
295	137138	326166
296	137521	325515
297	137911	324877
298	138334	324323
299	138761	323776
300	139207	323275
301	139751	323002
302	140234	322586
303	140778	322307
304	141184	321714
305	141566	321068
306	142050	320654
307	142521	320210
308	142993	319768
309	143445	319282
310	144011	319048
311	144515	318675
312	144905	318051
313	145411	317682
314	145967	317421
315	146463	317028
316	146893	316492
317	147493	316321
318	147870	315673
319	148309	315156
320	148838	314833
321	149335	314439
322	149730	313830
323	150191	313363
324	150662	312913
325	151104	312406
326	151585	311978
327	152054	311527
328	152926	311896
329	153444	311539
330	153915	311085
331	154432	310725
332	154900	310266
333	155340	309750
334	155779	309233
335	156224	308729
336	156618	308124
337	157032	307561
338	157490	307083
339	157951	306611
340	158490	306291
341	158961	305837
342	159345	305219
343	159676	304499
344	160207	304162
345	160680	303713
346	161122	303207
347	161642	302848
348	162083	302338
349	162446	301686
350	162930	301259
351	163348	300710
352	163787	300198
353	164245	299724
354	164721	299283
355	165102	298667
356	165536	298151
357	165998	297685
358	166444	297189
359	166808	296548
360	167346	296217
361	167722	295599
362	168290	295318
363	168650	294674
364	169038	294080
365	169511	293634
366	169909	293059
367	170417	292672
368	170872	292196
369	171323	291713
370	171768	291219
371	172253	290793
372	172732	290356
373	173122	289772
374	173501	289169
375	173939	288665
376	174381	288168
377	174827	287679
378	175361	287334
379	175843	286902
380	176339	286493
381	176782	285999
382	177272	285579
383	177756	285150
384	178326	284859
385	178737	284312
386	179191	283834
387	179628	283331
388	180068	282832
389	180581	282448
390	181023	281952
391	181489	281493
392	182002	281108
393	182514	280720
394	182986	280270
395	183464	279829
396	183927	279366
397	184406	278926
398	184813	278378
399	185228	277842
400	185715	277414
401	186270	277088
402	186684	276553
403	187184	276143
404	187603	275615
405	188138	275256
406	188588	274774
407	189194	274517
408	189686	274094
409	190206	273711
410	190689	273275
411	191111	272751
412	191550	272252
413	191965	271719
414	192498	271353
415	193017	270966
416	193494	270521
417	193992	270104
418	194396	269557
419	194857	269088
420	195267	268550
421	195745	268106
422	196215	267651
423	196688	267199
424	197124	266697
425	197550	266183
426	197918	265590
427	198377	265121
428	198803	264608
429	199192	264046
430	199565	263463
431	200070	263055
432	200503	262553
433	200882	261980
434	201307	261468
435	201654	260856
436	202110	260384
437	202562	259909
438	202998	259412
439	203509	259011
440	204032	258626
441	204556	258240
442	204982	257731
443	205484	257319
444	205837	256718
445	206408	256390
446	206770	255803
447	207287	255407
448	207785	254988
449	208251	254529
450	208703	254053
451	209112	253526
452	209555	253039
453	210030	252591
454	210551	252198
455	210928	251634
456	211371	251148
457	211763	250602
458	212539	250509
459	213103	250165
460	213503	249627
461	213957	249154
462	214410	248679
463	214886	248230
464	215396	247821
465	215879	247381
466	216286	246853
467	216759	246401
468	217185	245897
469	217695	245485
470	218201	245070
471	218618	244556
472	219119	244135
473	219616	243709
474	220021	243181
475	220518	242755
476	220918	242223
477	221455	241840
478	221945	241405
479	222331	240859
480	222755	240353
481	223165	239833
482	223652	239396
483	224039	238852
484	224521	238409
485	224917	237876
486	225314	237343
487	225697	236797
488	226215	236393
489	226679	235931
490	227101	235427
491	227581	234982
492	228015	234490
493	228535	234086
494	229056	233683
495	229537	233239
496	230135	232914
497	230692	232545
498	231190	232117
499	231624	231624
500	232043	231117
501	232621	230767
502	233108	230327
503	233621	229913
504	234142	229506
505	234618	229054
506	235036	228546
507	235534	228116
508	235936	227592
509	236451	227178
510	236944	226743
511	237431	226301
512	237915	225857
513	238472	225481
514	238994	225072
515	239483	224631
516	239981	224198
517	240478	223765
518	240972	223328
519	241458	222884
520	241996	222487
521	242528	222085
522	242980	221608
523	243364	221071
524	243796	220577
525	244346	220190
526	244914	219818
527	245303	219286
528	245805	218854
529	246349	218461
530	246831	218011
531	247283	217534
532	247743	217066
533	248261	216647
534	248676	216139
535	249218	215741
536	249726	215313
537	250228	214880
538	250656	214383
539	251109	213908
540	251516	213393
541	251902	212862
542	252494	212504
543	252963	212042
544	253446	211593
545	253951	211161
546	254487	210754
547	254905	210250
548	255403	209812
549	255890	209365
550	256392	208929
551	256878	208481
552	257416	208074
553	257799	207542
554	258376	207166
555	258893	206742
556	259403	206311
557	259899	205870
558	260454	205474
559	260846	204950
560	261310	204483
561	261728	203980
562	262194	203515
563	262701	203081
564	263099	202563
565	263573	202103
566	263985	201597
567	264551	201208
568	265036	200756
569	265575	200346
570	266211	200008
571	266710	199566
572	267274	199173
573	267729	198698
574	268296	198306
575	268745	197826
576	269299	197423
577	269725	196927
578	270306	196544
579	270749	196060
580	271277	195637
581	271736	195164
582	272514	194920
583	273036	194491
584	273469	193999
585	273930	193527
586	274402	193063
587	274902	192618
588	275350	192137
589	275855	191696
590	276329	191232
591	276807	190773
592	277278	190307
593	277763	189852
594	278224	189379
595	278655	188887
596	279184	188461
597	279578	187944
598	279948	187411
599	280486	186990
600	281054	186590
601	281601	186174
602	282080	185714
603	282600	185280
604	283051	184801
605	283545	184351
606	283918	183821
607	284450	183395
608	284853	182886
609	285342	182431
610	285750	181926
611	286263	181487
612	286768	181043
613	287122	180503
614	287547	180009
615	287961	179508
616	288507	179089
617	289010	178644
618	289528	178207
619	289985	177732
620	290504	177296
621	291014	176854
622	291490	176391
623	291831	175846
624	292364	175418
625	292876	174977
626	293363	174520
627	293842	174059
628	294346	173613
629	294778	173123
630	295273	172672
631	295756	172212
632	296235	171751
633	296734	171301
634	297090	170768
635	297525	170282
636	298026	169833
637	298579	169413
638	298971	168902
639	299409	168418
640	299806	167910
641	300287	167450
642	300636	166916
643	301123	166459
644	301611	166003
645	302096	165545
646	302758	165183
647	303517	164873
648	304002	164414
649	304485	163953
650	304967	163492
651	305442	163027
652	305974	162592
653	306480	162144
654	306961	161681
655	307393	161193
656	307769	160677
657	308348	160266
658	308859	159819
659	309333	159353
660	309810	158889
661	310237	158399
662	310743	157949
663	311229	157489
664	311715	157029
665	312256	156597
666	312744	156137
667	313251	155687
668	313723	155220
669	314294	154801
670	314699	154301
671	315294	153893
672	315765	153425
673	316388	153030
674	316917	152589
675	317355	152105
676	317876	151660
677	318470	151250
678	318980	150799
679	319427	150319
680	319927	149863
681	320414	149401
682	320910	148943
683	321388	148477
684	321815	147988
685	322210	147484
686	322610	146982
687	323076	146511
688	323532	146035
689	324032	145579
690	324607	145157
691	325105	144700
692	325640	144259
693	326078	143775
694	326513	143289
695	327050	142849
696	327464	142355
697	327870	141858
698	328384	141407
699	328895	140955
700	329364	140484
701	329915	140049
702	330383	139578
703	330800	139086
704	331353	138651
705	331871	138201
706	332621	137847
707	333215	137427
708	333704	136964
709	334102	136464
710	334655	136027
711	335197	135585
712	335690	135123
713	336150	134648
714	336653	134190
715	337131	133722
716	337671	133279
717	338189	132826
718	338743	132387
719	339246	131929
720	339738	131466
721	340285	131023
722	340721	130539
723	341151	130052
724	341714	129615
725	342208	129153
726	342625	128661
727	343106	128193
728	343624	127739
729	344117	127276
730	344678	126837
731	345217	126391
732	345706	125925
733	346269	125487
734	346767	125024
735	347212	124543
736	347662	124064
737	348229	123626
738	348884	123218
739	349508	122800
740	350041	122349
741	350583	121901
742	351035	121421
743	351466	120934
744	351912	120453
745	352488	120016
746	352987	119552
747	353511	119097
748	353971	118620
749	354494	118164
750	354916	117675
751	355348	117189
752	355883	116737
753	356437	116291
754	356840	115795
755	357362	115339
756	357810	114858
757	358354	114408
758	358850	113943
759	359389	113491
760	359905	113032
761	360464	112585
762	360955	112118
763	361419	111642
764	361893	111169
765	362378	110700
766	362836	110222
767	363339	109758
768	363762	109270
769	364303	108817
770	364811	108355
771	365254	107873
772	365746	107405
773	366224	106933
774	366669	106452
775	367197	105995
776	367718	105535
777	368302	105094
778	368850	104641
779	369349	104175
780	369853	103710
781	370353	103244
782	370854	102778
783	371311	102300
784	371711	101806
785	372164	101327
786	372580	100838
787	372966	100341
788	373397	99856
789	373837	99374
790	374413	98928
791	374830	98440
792	375389	97989
793	375852	97513
794	376409	97061
795	376821	96572
796	377400	96125
797	377916	95663
798	378364	95183
799	378906	94726
800	379440	94267
801	379989	93812
802	380467	93339
803	380899	92856
804	381411	92391
805	381833	91905
806	382227	91412
807	382683	90934
808	383186	90468
809	383692	90001
810	384153	89525
811	384690	89066
812	385224	88606
813	385681	88128
814	386258	87678
815	386807	87221
816	387313	86754
817	387806	86284
818	388318	85818
819	388776	85341
820	389281	84873
821	389773	84403
822	390285	83937
823	390731	83457
824	391235	82989
825	391696	82512
826	392461	82099
827	392937	81624
828	393326	81132
829	393861	80670
830	394325	80193
831	394827	79724
832	395351	79260
833	395946	78809
834	396467	78343
835	396914	77863
836	397381	77387
837	397763	76894
838	398318	76435
839	398789	75959
840	399232	75479
841	399657	74995
842	400212	74535
843	400756	74073
844	401245	73601
845	401750	73131
846	402275	72666
847	402759	72192
848	403261	71722
849	403749	71249
850	404272	70783
851	404756	70309
852	405199	69829
853	405716	69361
854	406229	68892
855	406735	68422
856	407273	67958
857	407788	67489
858	408250	67012
859	408799	66548
860	409298	66077
861	409731	65594
862	410154	65111
863	410704	64647
864	411213	64177
865	411720	63707
866	412256	63241
867	412762	62770
868	413240	62295
869	413780	61829
870	414274	61356
871	414784	60885
872	415216	60403
873	415632	59919
874	416066	59438
875	416503	58957
876	416903	58471
877	417374	57995
878	417886	57524
879	418331	57045
880	418806	56569
881	419322	56099
882	419716	55613
883	420209	55140
884	420681	54664
885	421076	54179
886	421622	53712
887	422142	53243
888	422657	52772
889	423145	52298
890	423578	51818
891	424094	51347
892	424615	50877
893	425161	50410
894	425679	49940
895	426188	49468
896	426708	48997
897	427226	48526
898	427710	48051
899	428186	47576
900	428671	47101
901	429235	46635
902	429723	46160
903	430258	45691
904	430730	45214
905	431184	44736
906	431694	44264
907	432131	43784
908	432650	43312
909	433199	42843
910	433683	42368
911	434147	41891
912	434629	41415
913	435148	40943
914	435725	40477
915	436111	39992
916	436612	39518
917	437142	39047
918	437652	38574
919	438140	38099
920	438597	37621
921	439041	37142
922	439709	36682
923	440260	36211
924	440740	35735
925	441258	35262
926	441786	34790
927	442261	34313
928	442821	33843
929	443425	33376
930	443926	32901
931	444381	32422
932	444840	31944
933	445363	31471
934	445911	30999
935	446338	30518
936	446837	30043
937	447256	29562
938	447685	29082
939	448265	28612
940	448800	28139
941	449237	27660
942	449666	27180
943	450169	26704
944	450597	26225
945	451111	25750
946	451619	25275
947	452387	24814
948	452976	24343
949	453521	23869
950	453958	23390
951	454467	22914
952	454954	22437
953	455463	21961
954	455974	21485
955	456663	21018
956	457442	20553
957	457916	20075
958	458430	19599
959	458931	19122
960	459408	18644
961	459980	18169
962	460540	17694
963	461051	17217
964	461530	16739
965	462004	16261
966	462445	15781
967	462934	15303
968	463424	14825
969	463863	14346
970	464346	13868
971	464755	13388
972	465281	12911
973	465679	12430
974	466197	11953
975	466694	11476
976	467150	10997
977	467629	10519
978	468200	10043
979	468625	9563
980	469071	9084
981	469472	8605
982	470096	8129
983	470501	7650
984	471029	7173
985	471529	6695
986	471948	6216
987	472438	5738
988	472932	5260
989	473504	4782
990	474048	4305
991	474530	3826
992	475083	3349
993	475557	2870
994	476079	2392
995	476544	1913
996	476917	1435
997	477417	956
998	477924	478
999	478510	0
